Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XRP,2020-04-18,0.189927755,0.1925843393,0.1933485087,0.1865422668
XRP,2020-04-19,0.1960349256,0.1899259934,0.1973147104,0.1886980886
XRP,2020-04-20,0.1920340161,0.1960349424,0.1967949784,0.1881983474
XRP,2020-04-21,0.1832010635,0.1920092748,0.194789366,0.1784029965
XRP,2020-04-22,0.1853410706,0.1832010145,0.1867466067,0.1812347788
XRP,2020-04-23,0.1882163378,0.1853250921,0.1899835397,0.1823197978
XRP,2020-04-24,0.1946957174,0.1882164147,0.1994504234,0.1857032918
XRP,2020-04-25,0.1930084275,0.1927451602,0.1971369043,0.1922784206
XRP,2020-04-26,0.1943690468,0.1930175648,0.1979012103,0.1918855649
XRP,2020-04-27,0.1957625697,0.1943685536,0.1978702021,0.1925988809
XRP,2020-04-28,0.1977963586,0.1957504704,0.1998412786,0.194586338
XRP,2020-04-29,0.2152984405,0.1978745753,0.215349642,0.1949713147
XRP,2020-04-30,0.2268560353,0.2153436121,0.2312874493,0.2143032064
XRP,2020-05-01,0.2152957439,0.2268218014,0.2359468235,0.20850618
XRP,2020-05-02,0.2177321376,0.215296053,0.2244552315,0.2106409132
XRP,2020-05-03,0.2242276416,0.2177324724,0.2262833656,0.2160688867
XRP,2020-05-04,0.2197409772,0.2244212204,0.2272656814,0.2161758487
XRP,2020-05-05,0.2181351746,0.2197429825,0.220698422,0.2075488235
XRP,2020-05-06,0.2169137572,0.218106167,0.2224537917,0.2135682509
XRP,2020-05-07,0.2179942617,0.2172083302,0.2228011643,0.215152333
XRP,2020-05-08,0.2188917818,0.2179916548,0.2212204797,0.2099801471
XRP,2020-05-09,0.2197877433,0.2189507802,0.2222358789,0.2145275214
XRP,2020-05-10,0.2181760876,0.2198228819,0.2256993579,0.216309428
XRP,2020-05-11,0.197604161,0.2181578176,0.2189733911,0.180016007
